Timestamp,What is your age?,What gender do you identify as?,What's your ethnicity?,What level of education are you currently enrolled in?,What program are you currently studying?,Have you heard of this 'ChatGPT?',How have you used ChatGPT?,"If you have used ChatGPT for academia, did you see an improvement in your grade?",Has ChatGPT been reliable and/or accurate for you?,Do you think ChatGPT helps your learning or hinders you?,Statement: Schools should ban the usage of ChatGPT due to it being under the category of academic dishonesty.,What forms of evaluation in academia should ChatGPT be allowed to assist you with?
2/21/2023 16:20:23,Under 18,Male,White / Caucasian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help)",Yes,Yes,Helps me learn,Neutral,None
2/21/2023 16:32:41,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",I have not used ChatGPT for academia,Yes,Helps me learn,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Research ideas"
2/21/2023 16:37:23,18-22,Female,Asian,Bachelor's Degree,Math and Science ,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Disagree,Research ideas
2/21/2023 16:37:54,Under 18,Male,Middle Eastern,Middle Eastern,Science,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Strongly disagree,"Essay writing or inspiration, Proofreading assignments, Summing up a topic, Research ideas"
2/21/2023 16:39:43,18-22,Female,Indigenous or Native American,College Diploma,Science,Yes,"Academia (essay writing, programming help), Personal (cooking, inspiration, etc.)",Yes,Yes,Helps me learn,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas"
2/21/2023 16:39:45,18-22,Male,Asian,Bachelor's Degree,Community Service,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Neutral,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:41:20,18-22,Male,Asian,College Diploma,Science,Yes,"Academia (essay writing, programming help), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic"
2/21/2023 16:41:46,18-22,Male,Asian,Bachelor's Degree,Engineering,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Neutral,"Mathematics assistance, Proofreading assignments, None"
2/21/2023 16:41:54,18-22,Male,Asian,Bachelor's Degree,Community Service,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Agree,"Grammar (vocab, syntax)"
2/21/2023 16:42:05,18-22,Female,White / Caucasian,Bachelor's Degree,Community Service,No,,,,,,
2/21/2023 16:42:22,23-27,Trans Gender/Non-Binary,Black or African American,PhD,Engineering,Yes,"Academia (essay writing, programming help)",Yes,Sometimes,Helps me learn,Disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:42:32,23-27,Female,White / Caucasian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Neutral,"Mathematics assistance, Proofreading assignments, Grammar (vocab, syntax)"
2/21/2023 16:42:53,18-22,Female,White / Caucasian,Bachelor's Degree,Arts ,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Strongly disagree,Essay writing or inspiration
2/21/2023 16:43:41,18-22,Female,White / Caucasian,Bachelor's Degree,Community Service,Yes,"Academia (essay writing, programming help)",No,Sometimes,Hinders my learning,Agree,"Proofreading assignments, Summing up a topic, Grammar (vocab, syntax)"
2/21/2023 16:44:03,23-27,Female,White / Caucasian,Master's Degree,Business,No,,,,,,
2/21/2023 16:45:13,18-22,Trans Gender/Non-Binary,White / Caucasian,Bachelor's Degree,Occupational Health and Safety,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,Hinders my learning,Strongly agree,None
2/21/2023 16:45:13,18-22,Female,Middle Eastern,Bachelor's Degree,Arts ,Yes,"Academia (essay writing, programming help)",Yes,Yes,Helps me learn,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:46:38,18-22,Male,Asian,Bachelor's Degree,Business,Yes,"Academia (essay writing, programming help)",No,Sometimes,Helps me learn,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:48:00,18-22,Male,Asian,Bachelor's Degree,Arts,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:49:05,23-27,Female,White / Caucasian,Certificate,Community Service,No,,,,,,
2/21/2023 16:49:11,18-22,Trans Gender/Non-Binary,White / Caucasian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help)",Yes,Sometimes,Helps me learn,Neutral,"Mathematics assistance, Proofreading assignments, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:49:33,18-22,Male,Asian,Bachelor's Degree,Engineering,Yes,"Academia (essay writing, programming help)",No,Sometimes,Hinders my learning,Agree,"Proofreading assignments, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:50:19,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:54:00,18-22,Female,White / Caucasian,Bachelor's Degree,Engineering,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Agree,Proofreading assignments
2/21/2023 16:54:01,18-22,Male,Black or African American,Bachelor's Degree,Business,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Disagree,"Proofreading assignments, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:55:22,18-22,Male,Asian,Bachelor's Degree,Science,No,,,,,,
2/21/2023 16:56:56,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",I have not used ChatGPT for academia,2/22/2023 16:56:56,18-23,Male,Asian
2/21/2023 16:58:03,18-22,Male,Middle Eastern,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",Yes,Yes,Helps me learn,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 16:59:09,18-22,Female,White / Caucasian,College Diploma,Arts ,No,,,,,,
2/21/2023 17:01:07,18-22,Male,Asian,Professional Degree,Business ,Yes,"Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",I have not used ChatGPT for academia,Sometimes,Helps me learn,Neutral,"Essay writing or inspiration, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
